Date,Open,High,Low,Close,Volume
2/23/2016,51,51,50.110001,50.419998,9358700
2/24/2016,50,51.66,49.73,51.52,10966600
2/25/2016,51.5,51.790001,50.900002,51.639999,8321600
2/26/2016,52,52,51.220001,51.619999,9528400
2/29/2016,51.169998,51.529999,50.709999,50.790001,12127300
3/1/2016,51.080002,52.110001,51.060001,52.110001,11977400
3/2/2016,52.389999,52.98,52.240002,52.849998,15664800
3/3/2016,52.450001,52.810001,51.860001,52.380001,12359800
3/4/2016,52.330002,52.900002,51.900002,52.66,12770300
3/7/2016,52.439999,53.52,52.360001,53.299999,10171500
3/8/2016,52.889999,53.209999,51.98,52.459999,11684300
3/9/2016,52.41,52.52,51.740002,51.950001,13964500
3/10/2016,51.91,52.369999,51.169998,52.02,9519100
3/11/2016,52.59,52.639999,51.889999,52.220001,11404300
3/14/2016,52.240002,52.41,51.740002,52.09,7407200
3/15/2016,51.75,51.830002,50.98,51.630001,12887600
3/16/2016,51.630001,51.630001,50.91,51.299999,21052300
3/17/2016,51.150002,51.689999,51.119999,51.380001,10190400
3/18/2016,51.689999,51.869999,51.23,51.59,28991500
3/21/2016,51.599998,52.349998,51.509998,52.209999,11796500
3/22/2016,51.84,52.32,51.790001,52.02,6623200
3/23/2016,52.119999,52.16,50.810001,50.990002,9194600
3/24/2016,50.630001,50.900002,50.130001,50.860001,7527300
3/28/2016,50.43,50.610001,49.950001,50.189999,9065200
3/29/2016,50,50.939999,49.669998,50.689999,9564000
3/30/2016,51.169998,51.650002,50.73,50.990002,7142800
3/31/2016,50.869999,51.43,50.830002,51.139999,7315800
4/1/2016,51.080002,51.110001,50.009998,50.880001,9379800
4/4/2016,50.810001,51.110001,50.509998,50.650002,6289600
4/5/2016,50.439999,50.529999,50,50.07,6863300
4/6/2016,50.139999,50.73,49.73,50.619999,7432200
4/7/2016,50.400002,50.450001,49.77,50.029999,7532200
4/8/2016,50.369999,51.150002,50.25,50.560001,5584800
4/11/2016,50.860001,51.580002,50.860001,51,8637200
4/12/2016,51.049999,51.099998,50.200001,50.82,6076700
4/13/2016,51.299999,52.439999,51.150002,51.919998,13813500
4/14/2016,51.849998,51.889999,51.240002,51.82,7915000
4/15/2016,51.93,51.990002,51.029999,51.060001,10143300
4/18/2016,51.09,51.73,50.939999,51.549999,7666800
4/19/2016,51.73,51.93,51.299999,51.830002,9306400
4/20/2016,51.93,52.540001,51.810001,52.09,11216900
4/21/2016,51.299999,51.799999,50.740002,51.669998,16728600
4/22/2016,51.709999,53.09,51.68,52.639999,14029800
4/25/2016,52.599998,52.720001,52.029999,52.43,6941200
4/26/2016,52.540001,52.959999,52.450001,52.91,7600100
4/27/2016,52.029999,53.130001,52.009998,52.900002,8256600
4/28/2016,52.48,53.279999,52.040001,52.130001,7795000
4/29/2016,51.830002,52,50.110001,50.52,11437400
5/2/2016,50.689999,51.169998,50.130001,51.110001,7123500
5/3/2016,50.669998,50.919998,50.189999,50.73,7848600
5/4/2016,50.189999,50.880001,50.150002,50.490002,11981800
5/5/2016,50.740002,51.27,50.43,51.130001,10189100
5/6/2016,50.650002,51.119999,50.380001,50.919998,9434500
5/9/2016,51,51.599998,50.790001,51.200001,7173600
5/10/2016,51.259998,52.23,50.970001,52.150002,8186000
5/11/2016,51.830002,52.529999,51.689999,52.150002,8324100
5/12/2016,52.330002,52.529999,51.360001,51.509998,9516000
5/13/2016,51.459999,52.080002,51.110001,51.32,6975100
5/16/2016,51.32,52.169998,51.119999,51.91,6823600
5/17/2016,51.740002,52.279999,51.5,51.990002,9386200
5/18/2016,52.07,53.34,52,52.790001,10519100
5/19/2016,52.709999,53.080002,52.259998,52.759998,8614000
5/20/2016,52.970001,54.580002,52.869999,54.52,14003600
5/23/2016,54.200001,54.860001,54.150002,54.18,9659600
5/24/2016,54.419998,55.619999,54.400002,55.59,13097700
5/25/2016,55.700001,56.27,55.689999,55.98,9266500
5/26/2016,55.970001,56.139999,55.509998,55.740002,6820500
5/27/2016,55.330002,55.389999,55.02,55.27,5918200
5/31/2016,55.389999,55.43,54.82,54.919998,15093400
6/1/2016,54.5,54.970001,54.450001,54.790001,12156800
6/2/2016,54.650002,54.919998,54.290001,54.880001,9026900
6/3/2016,54.990002,55.009998,54.470001,54.939999,10008100
6/6/2016,54.98,55.369999,54.66,54.889999,7905100
6/7/2016,54.939999,55.18,54.669998,54.84,5400200
6/8/2016,54.73,55.049999,54.669998,54.939999,6314800
6/9/2016,54.400002,55.040001,54.189999,54.98,8726200
6/10/2016,54.459999,54.75,53.400002,53.830002,15791600
6/13/2016,53.599998,53.900002,52.740002,52.830002,12128900
6/14/2016,52.66,53.25,52.470001,52.700001,8887300
6/15/2016,53.049999,53.560001,52.669998,53.279999,8832400
6/16/2016,52.970001,53.470001,52.48,53.419998,5907500
6/17/2016,53.73,53.82,53.099998,53.549999,14548800
6/20/2016,54.169998,54.66,53.860001,53.889999,8680800
6/21/2016,54.25,54.25,53.599998,53.880001,6431700
6/22/2016,53.900002,54.970001,53.900002,54.040001,8481600
6/23/2016,54.849998,55.57,54.57,55.549999,8952200
6/24/2016,53.009998,53.82,52.119999,52.119999,17018500
6/27/2016,52.290001,52.290001,50.84,51.139999,11642700
6/28/2016,51.700001,52.560001,51.529999,52.509998,7470400
6/29/2016,53.060001,53.84,52.75,53.549999,7126900
6/30/2016,52.900002,53.57,52.459999,53.57,9254400
7/1/2016,52.990002,53.389999,52.84,53,6385000
7/5/2016,52.950001,52.970001,51.889999,51.939999,10626200
7/6/2016,51.57,52.529999,51.16,52.369999,7740700
7/7/2016,52.580002,53.380001,52.41,52.93,5763300
7/8/2016,53.490002,54.330002,53.32,54.189999,6853900
7/11/2016,53.959999,54.709999,53.939999,54.119999,6941600
7/12/2016,54.450001,54.740002,54.209999,54.619999,7413700
7/13/2016,54.91,55,54.630001,54.830002,5676400
7/14/2016,55.189999,55.369999,54.560001,54.880001,6601500
7/15/2016,54.860001,54.860001,54.169998,54.75,10236900
7/18/2016,55.139999,55.650002,54.98,55.349998,9225900
7/19/2016,55.73,55.900002,54.950001,55.139999,8164200
7/20/2016,55.360001,55.950001,55.040001,55.82,17204300
7/21/2016,59.799999,60.470001,59.130001,59.93,33912300
7/22/2016,60.209999,61.18,59.830002,61.150002,12505700
7/25/2016,60.959999,60.970001,60.150002,60.73,9166200
7/26/2016,61,61.5,60.77,61.349998,11272600
7/27/2016,61.82,62.66,61.650002,62.509998,13244400
7/28/2016,62.439999,62.790001,62.169998,62.43,8514200
7/29/2016,62.599998,62.82,62.240002,62.580002,8291000
8/1/2016,62.369999,62.400002,61.580002,61.849998,14606200
8/2/2016,61.740002,61.950001,60.02,60.599998,14732800
8/3/2016,60.59,61.110001,60.5,61.009998,6448200
8/4/2016,61.110001,61.23,60.73,60.98,5163800
8/5/2016,61.52,62.110001,61.27,62,8320700
8/8/2016,62.049999,62.189999,61.369999,61.580002,8410600
8/9/2016,61.91,62.439999,61.830002,61.990002,5350300
8/10/2016,62,62.16,61.439999,61.709999,3836200
8/11/2016,61.889999,62.16,61.669998,61.740002,4986500
8/12/2016,61.540001,61.990002,61.279999,61.709999,4947700
8/15/2016,61.799999,62.490002,61.799999,62.43,6499000
8/16/2016,62.080002,62.5,61.759998,62.07,7650600
8/17/2016,62.220001,62.400002,61.790001,62.279999,6812400
8/18/2016,62.349998,63.040001,62.18,63.040001,7935900
8/19/2016,62.610001,62.84,62.009998,62.759998,7093000
8/22/2016,62.700001,62.869999,62.349998,62.830002,5720900
8/23/2016,63,63.689999,62.830002,63.09,5970600
8/24/2016,62.919998,63.240002,62.470001,62.610001,6902400
8/25/2016,62.669998,62.959999,62.580002,62.639999,4916700
8/26/2016,62.889999,63.509998,62.650002,62.970001,7255600
8/29/2016,62.419998,63.09,62.369999,62.98,5148500
8/30/2016,63,63.509998,62.709999,62.939999,5047600
8/31/2016,62.98,63.119999,62.529999,63.07,6516600
9/1/2016,62.869999,63.5,62.509998,63.470001,6906300
9/2/2016,63.529999,63.700001,63.09,63.349998,6325900
9/6/2016,63.119999,63.389999,62.880001,63.09,5603000
9/7/2016,63.189999,63.25,62.32,62.43,6281600
9/8/2016,62.029999,62.810001,62.009998,62.689999,7658500
9/9/2016,62.009998,62.290001,60.5,60.52,10625600
9/12/2016,60.23,62.27,59.93,62.25,10158600
9/13/2016,61.82,62.200001,60.939999,61.290001,8397100
9/14/2016,61.290001,61.950001,61.040001,61.59,5982400
9/15/2016,61.950001,62.669998,61.549999,62.540001,8871200
9/16/2016,62.880001,63.439999,62.369999,62.990002,14677700
9/19/2016,63.130001,63.389999,62.759998,62.860001,6732200
9/20/2016,63.27,63.299999,62.529999,62.700001,5471400
9/21/2016,63.099998,63.639999,62.91,63.57,7488600
9/22/2016,63.709999,64,63.360001,63.52,7895700
9/23/2016,63,63.57,62.669998,62.75,7794700
9/26/2016,62.490002,62.560001,61.860001,62.310001,6207400
9/27/2016,62.529999,63.360001,62.439999,63.310001,5228300
9/28/2016,63.23,63.689999,63,63.450001,5251900
9/29/2016,63.279999,68.830002,62.709999,67.449997,43098800
9/30/2016,68.400002,70.400002,68.150002,68.5,34879500
